cost_centre_code,period,amount
FIN-01,2025-01-01,102141.69
FIN-01,2025-02-01,108998.71
FIN-01,2025-03-01,119501.74
FIN-01,2025-04-01,107339.89
FIN-01,2025-05-01,105940.32
FIN-01,2025-06-01,126430.03
FIN-01,2025-07-01,99536.22
FIN-01,2025-08-01,111369.97
FIN-01,2025-09-01,127861.17
FIN-01,2025-10-01,111898.24
FIN-01,2025-11-01,101721.26
FIN-01,2025-12-01,119153.50
FIN-02,2025-01-01,95099.73
FIN-02,2025-02-01,93353.50
FIN-02,2025-03-01,102681.24
FIN-02,2025-04-01,89504.23
FIN-02,2025-05-01,92067.38
FIN-02,2025-06-01,99948.51
FIN-02,2025-07-01,89688.14
FIN-02,2025-08-01,89565.78
FIN-02,2025-09-01,111987.50
FIN-02,2025-10-01,91243.99
FIN-02,2025-11-01,93289.21
FIN-02,2025-12-01,110566.79
FIN-03,2025-01-01,130081.81
FIN-03,2025-02-01,124316.02
FIN-03,2025-03-01,162601.64
FIN-03,2025-04-01,134979.17
FIN-03,2025-05-01,124462.21
FIN-03,2025-06-01,145771.38
FIN-03,2025-07-01,133411.12
FIN-03,2025-08-01,126051.21
FIN-03,2025-09-01,153138.27
FIN-03,2025-10-01,133396.39
FIN-03,2025-11-01,126171.26
FIN-03,2025-12-01,157916.93
ENG-01,2025-01-01,127709.95
ENG-01,2025-02-01,128401.90
ENG-01,2025-03-01,150198.73
ENG-01,2025-04-01,125804.42
ENG-01,2025-05-01,135196.16
ENG-01,2025-06-01,148354.88
ENG-01,2025-07-01,130122.50
ENG-01,2025-08-01,132510.23
ENG-01,2025-09-01,149197.84
ENG-01,2025-10-01,135819.48
ENG-01,2025-11-01,122815.20
ENG-01,2025-12-01,142941.22
ENG-02,2025-01-01,225873.21
ENG-02,2025-02-01,228816.78
ENG-02,2025-03-01,271452.29
ENG-02,2025-04-01,242576.93
ENG-02,2025-05-01,249248.88
ENG-02,2025-06-01,282066.54
ENG-02,2025-07-01,250892.72
ENG-02,2025-08-01,229730.62
ENG-02,2025-09-01,291794.72
ENG-02,2025-10-01,236779.67
ENG-02,2025-11-01,234491.38
ENG-02,2025-12-01,295284.80
ENG-03,2025-01-01,229541.02
ENG-03,2025-02-01,230551.44
ENG-03,2025-03-01,262788.10
ENG-03,2025-04-01,219768.49
ENG-03,2025-05-01,219662.17
ENG-03,2025-06-01,261111.82
ENG-03,2025-07-01,221771.36
ENG-03,2025-08-01,235190.65
ENG-03,2025-09-01,273936.50
ENG-03,2025-10-01,230171.30
ENG-03,2025-11-01,235252.03
ENG-03,2025-12-01,283669.06
SALES-01,2025-01-01,104186.08
SALES-01,2025-02-01,98486.45
SALES-01,2025-03-01,113664.73
SALES-01,2025-04-01,108204.49
SALES-01,2025-05-01,108082.47
SALES-01,2025-06-01,117215.05
SALES-01,2025-07-01,102215.84
SALES-01,2025-08-01,96300.65
SALES-01,2025-09-01,121328.38
SALES-01,2025-10-01,104706.57
SALES-01,2025-11-01,108179.80
SALES-01,2025-12-01,127568.55
SALES-02,2025-01-01,91804.60
SALES-02,2025-02-01,99792.24
SALES-02,2025-03-01,118455.68
SALES-02,2025-04-01,95043.92
SALES-02,2025-05-01,91187.35
SALES-02,2025-06-01,111190.60
SALES-02,2025-07-01,92365.68
SALES-02,2025-08-01,101149.83
SALES-02,2025-09-01,116703.99
SALES-02,2025-10-01,91254.82
SALES-02,2025-11-01,91459.54
SALES-02,2025-12-01,110045.05
SALES-03,2025-01-01,178693.73
SALES-03,2025-02-01,190410.54
SALES-03,2025-03-01,231468.59
SALES-03,2025-04-01,198003.94
SALES-03,2025-05-01,187970.66
SALES-03,2025-06-01,233936.76
SALES-03,2025-07-01,185996.34
SALES-03,2025-08-01,187927.46
SALES-03,2025-09-01,216150.12
SALES-03,2025-10-01,184645.18
SALES-03,2025-11-01,178499.88
SALES-03,2025-12-01,212444.06
MKT-01,2025-01-01,88207.27
MKT-01,2025-02-01,94511.91
MKT-01,2025-03-01,103089.10
MKT-01,2025-04-01,92390.88
MKT-01,2025-05-01,93075.02
MKT-01,2025-06-01,107768.88
MKT-01,2025-07-01,88075.45
MKT-01,2025-08-01,92601.82
MKT-01,2025-09-01,111206.37
MKT-01,2025-10-01,94833.84
MKT-01,2025-11-01,94072.94
MKT-01,2025-12-01,112664.32
MKT-02,2025-01-01,99754.78
MKT-02,2025-02-01,103093.94
MKT-02,2025-03-01,124551.73
MKT-02,2025-04-01,102418.37
MKT-02,2025-05-01,107479.31
MKT-02,2025-06-01,114693.65
MKT-02,2025-07-01,102655.49
MKT-02,2025-08-01,103371.14
MKT-02,2025-09-01,126121.07
MKT-02,2025-10-01,105625.65
MKT-02,2025-11-01,98619.29
MKT-02,2025-12-01,127091.64
MKT-03,2025-01-01,113861.85
MKT-03,2025-02-01,118664.43
MKT-03,2025-03-01,138139.08
MKT-03,2025-04-01,114123.54
MKT-03,2025-05-01,111508.03
MKT-03,2025-06-01,139709.76
MKT-03,2025-07-01,113144.97
MKT-03,2025-08-01,108614.14
MKT-03,2025-09-01,126995.25
MKT-03,2025-10-01,115700.66
MKT-03,2025-11-01,108082.90
MKT-03,2025-12-01,131100.33
HR-01,2025-01-01,74149.35
HR-01,2025-02-01,66449.29
HR-01,2025-03-01,79889.34
HR-01,2025-04-01,71544.95
HR-01,2025-05-01,69569.52
HR-01,2025-06-01,82310.51
HR-01,2025-07-01,72910.75
HR-01,2025-08-01,71931.14
HR-01,2025-09-01,86309.45
HR-01,2025-10-01,66480.93
HR-01,2025-11-01,73493.56
HR-01,2025-12-01,81472.57
HR-02,2025-01-01,64005.50
HR-02,2025-02-01,68329.02
HR-02,2025-03-01,74567.29
HR-02,2025-04-01,64162.85
HR-02,2025-05-01,69199.84
HR-02,2025-06-01,83452.37
HR-02,2025-07-01,64461.33
HR-02,2025-08-01,65123.13
HR-02,2025-09-01,78689.26
HR-02,2025-10-01,62942.58
HR-02,2025-11-01,67921.57
HR-02,2025-12-01,81082.94
HR-03,2025-01-01,63685.83
HR-03,2025-02-01,62085.72
HR-03,2025-03-01,74043.63
HR-03,2025-04-01,63889.44
HR-03,2025-05-01,63626.25
HR-03,2025-06-01,81377.69
HR-03,2025-07-01,65680.60
HR-03,2025-08-01,66667.12
HR-03,2025-09-01,74659.67
HR-03,2025-10-01,67755.92
HR-03,2025-11-01,66272.87
HR-03,2025-12-01,75829.38
OPS-01,2025-01-01,101721.23
OPS-01,2025-02-01,104290.55
OPS-01,2025-03-01,121671.88
OPS-01,2025-04-01,102549.56
OPS-01,2025-05-01,97045.62
OPS-01,2025-06-01,112778.02
OPS-01,2025-07-01,97355.19
OPS-01,2025-08-01,101463.56
OPS-01,2025-09-01,116500.31
OPS-01,2025-10-01,98401.12
OPS-01,2025-11-01,107355.92
OPS-01,2025-12-01,116271.57
OPS-02,2025-01-01,88430.03
OPS-02,2025-02-01,87403.84
OPS-02,2025-03-01,107560.73
OPS-02,2025-04-01,94189.68
OPS-02,2025-05-01,86063.52
OPS-02,2025-06-01,107210.37
OPS-02,2025-07-01,91391.00
OPS-02,2025-08-01,92562.44
OPS-02,2025-09-01,109082.70
OPS-02,2025-10-01,92454.82
OPS-02,2025-11-01,88783.59
OPS-02,2025-12-01,101076.09
OPS-03,2025-01-01,121732.49
OPS-03,2025-02-01,123053.73
OPS-03,2025-03-01,145808.97
OPS-03,2025-04-01,132631.51
OPS-03,2025-05-01,133016.74
OPS-03,2025-06-01,145691.76
OPS-03,2025-07-01,128353.08
OPS-03,2025-08-01,120894.71
OPS-03,2025-09-01,153202.47
OPS-03,2025-10-01,129902.92
OPS-03,2025-11-01,126006.37
OPS-03,2025-12-01,147444.39
IT-01,2025-01-01,161309.37
IT-01,2025-02-01,173133.40
IT-01,2025-03-01,192154.83
IT-01,2025-04-01,155067.84
IT-01,2025-05-01,167407.47
IT-01,2025-06-01,191392.56
IT-01,2025-07-01,169303.40
IT-01,2025-08-01,164811.27
IT-01,2025-09-01,188230.74
IT-01,2025-10-01,167765.19
IT-01,2025-11-01,173694.47
IT-01,2025-12-01,186710.57
IT-02,2025-01-01,256125.97
IT-02,2025-02-01,242290.97
IT-02,2025-03-01,298712.26
IT-02,2025-04-01,252524.33
IT-02,2025-05-01,251088.83
IT-02,2025-06-01,309163.09
IT-02,2025-07-01,262373.51
IT-02,2025-08-01,240564.88
IT-02,2025-09-01,279045.90
IT-02,2025-10-01,261981.19
IT-02,2025-11-01,248537.14
IT-02,2025-12-01,284990.24
IT-03,2025-01-01,258587.63
IT-03,2025-02-01,233837.08
IT-03,2025-03-01,308556.02
IT-03,2025-04-01,239517.46
IT-03,2025-05-01,239978.09
IT-03,2025-06-01,307107.03
IT-03,2025-07-01,251447.98
IT-03,2025-08-01,246521.00
IT-03,2025-09-01,304203.19
IT-03,2025-10-01,251736.80
