department_code,code,name
FIN,FIN-01,Controllership
FIN,FIN-02,Treasury
FIN,FIN-03,FP&A
ENG,ENG-01,Platform
ENG,ENG-02,Data Products
ENG,ENG-03,Quality Engineering
SALES,SALES-01,Enterprise Sales
SALES,SALES-02,Channel Sales
SALES,SALES-03,Sales Operations
MKT,MKT-01,Brand
MKT,MKT-02,Demand Generation
MKT,MKT-03,Events
HR,HR-01,Talent Acquisition
HR,HR-02,Learning
HR,HR-03,People Operations
OPS,OPS-01,Facilities
OPS,OPS-02,Procurement
OPS,OPS-03,Business Operations
IT,IT-01,End User Computing
IT,IT-02,Cloud Infrastructure
IT,IT-03,Security
LEGAL,LEGAL-01,Commercial Legal
LEGAL,LEGAL-02,Privacy
LEGAL,LEGAL-03,Compliance
