vendor_code,name,risk_tier
V001,Apex Systems,LOW
V002,BluePeak Services,LOW
V003,Crest Solutions,LOW
V004,Delta Supplies,MEDIUM
V005,Evergreen Consulting,LOW
V006,Fusion Systems,LOW
V007,Granite Services,LOW
V008,Helix Solutions,MEDIUM
V009,Ion Supplies,LOW
V010,Jupiter Consulting,HIGH
V011,Keystone Systems,LOW
V012,Lumina Services,MEDIUM
V013,Metro Solutions,LOW
V014,Nimbus Supplies,LOW
V015,Orion Consulting,LOW
V016,Pinnacle Systems,MEDIUM
V017,Quantum Services,LOW
V018,Redwood Solutions,LOW
V019,Summit Supplies,LOW
V020,Titan Consulting,HIGH
V021,Unity Systems,LOW
V022,Vertex Services,LOW
V023,Willow Solutions,LOW
V024,Xenon Supplies,MEDIUM
V025,Yellowfin Consulting,LOW
V026,Zenith Systems,LOW
V027,Acorn Services,LOW
V028,Beacon Solutions,MEDIUM
V029,Cloudline Supplies,LOW
V030,Databridge Consulting,HIGH
