expense_id,employee_id,submitted_at,audit_completed_at,employee_gender,region,department,employee_level,expense_category,merchant_risk_tier,country_risk_tier,payment_method,amount_usd,policy_limit_usd,amount_to_policy_ratio,days_since_expense,prior_30d_claim_count,prior_30d_total_usd,employee_tenure_months,duplicate_7d_count,receipt_attached,weekend_submission,outside_business_hours,cross_border,is_abnormal
EXP-0000000,EMP-00455,2024-01-01T01:17:00Z,2024-01-25T01:17:00Z,Female,North America,Sales,IC3-4,Meals,low,low,corporate_card,141.97,100.0,1.4197,0,4,244.46,111,0,False,False,False,False,0
EXP-0000001,EMP-00004,2024-01-01T01:55:00Z,2024-01-17T01:55:00Z,Male,APAC,Operations,IC1-2,Airfare,low,low,corporate_card,464.62,1260.0,0.3687,9,6,1783.79,103,0,False,False,False,False,0
EXP-0000002,EMP-00616,2024-01-01T03:16:00Z,2024-01-24T03:16:00Z,Male,APAC,Sales,IC3-4,Meals,low,medium,corporate_card,82.98,100.0,0.8298,10,2,126.94,111,0,True,False,False,False,0
EXP-0000003,EMP-00904,2024-01-01T04:49:00Z,2024-01-20T04:49:00Z,Male,LATAM,Operations,IC3-4,Taxi,medium,low,corporate_card,117.31,120.0,0.9776,14,0,117.32,13,0,True,False,True,False,0
EXP-0000004,EMP-00627,2024-01-01T06:45:00Z,2024-01-12T06:45:00Z,Female,APAC,Operations,Manager,Office,low,medium,cash,394.8,575.0,0.6866,6,3,540.0,164,1,True,False,False,False,0
EXP-0000005,EMP-00899,2024-01-01T08:25:00Z,2024-01-04T08:25:00Z,Female,North America,Sales,Manager,Office,low,low,corporate_card,622.36,575.0,1.0824,3,3,1527.73,142,0,False,False,True,False,0
EXP-0000006,EMP-00118,2024-01-01T08:56:00Z,2024-01-09T08:56:00Z,Male,LATAM,Support,IC3-4,Taxi,medium,low,personal_card,290.89,120.0,2.4241,12,5,1082.91,27,0,True,False,True,False,0
EXP-0000007,EMP-00883,2024-01-01T09:19:00Z,2024-01-15T09:19:00Z,Male,North America,Support,IC3-4,Office,low,low,corporate_card,174.25,500.0,0.3485,11,4,647.88,174,0,True,False,False,False,0
EXP-0000008,EMP-00767,2024-01-01T09:30:00Z,2024-01-06T09:30:00Z,Male,North America,Engineering,IC1-2,Taxi,low,low,corporate_card,53.84,108.0,0.4985,4,2,1608.72,14,0,True,False,False,False,0
EXP-0000009,EMP-00904,2024-01-01T10:55:00Z,2024-01-16T10:55:00Z,Male,LATAM,Operations,IC3-4,Airfare,high,medium,corporate_card,525.31,1400.0,0.3752,5,5,833.4,13,0,True,False,False,False,0
EXP-0000010,EMP-00282,2024-01-01T11:24:00Z,2024-01-14T11:24:00Z,Female,North America,Operations,Director+,Meals,low,medium,corporate_card,33.21,140.0,0.2372,6,1,673.02,112,0,True,False,False,False,0
