bin,count,mean_predicted_probability,observed_abnormal_rate
"(-0.001, 0.1]",325,0.07181482022247848,0.003076923076923077
"(0.1, 0.2]",476,0.144596261827462,0.012605042016806723
"(0.2, 0.3]",283,0.24506719135124794,0.02120141342756184
"(0.3, 0.4]",181,0.34982778264925823,0.022099447513812154
"(0.4, 0.5]",123,0.44920816286785564,0.07317073170731707
"(0.5, 0.6]",102,0.5479074021414285,0.0784313725490196
"(0.6, 0.7]",93,0.6498314209949446,0.07526881720430108
"(0.7, 0.8]",57,0.7492629796261461,0.24561403508771928
"(0.8, 0.9]",83,0.8501495007802033,0.3373493975903614
"(0.9, 1.0]",77,0.9558882901024153,0.4805194805194805
