feature,importance_mean_ap_decrease,importance_std
amount_to_policy_ratio,0.28708019880369895,0.014932350295663413
receipt_attached,0.11170961056772259,0.016128254453895884
duplicate_7d_count,0.07876966123657154,0.010378844411397026
policy_limit_usd,0.024175358687262637,0.00817271027008082
merchant_risk_tier,0.010701390230870057,0.0033173867695732284
cross_border,0.008799221006270182,0.0033111538768611283
outside_business_hours,0.0077191320184993376,0.003906923756901312
payment_method,0.007495633897922245,0.005962675433092469
prior_30d_claim_count,0.003634780669410323,0.007670437125329592
weekend_submission,0.0019891102343993702,0.0032771284234379932
days_since_expense,-0.00033627581082441155,0.0004271900070052692
employee_level,-0.0006682836709973813,0.0010083290297840854
amount_usd,-0.0011367057625287363,0.002878740364157892
prior_30d_total_usd,-0.001197708022877636,0.0003180737176261404
employee_tenure_months,-0.0012241493651600766,0.0020127040263386046
expense_category,-0.0015716510522903876,0.005229718569875697
country_risk_tier,-0.002362193996085414,0.003900274471355662
region,-0.004062145650610319,0.00277344694354703
department,-0.00877850423385132,0.003048771649608913
